SituationReport,Date,China-Taipei-deaths,China-HongKongSAR-deaths,China-Macao-deaths
1,20/01/2020,0,0,0
2,21/01/2020,0,0,0
3,23/01/2020,0,0,0
4,24/01/2020,0,0,0
5,25/01/2020,0,0,0
6,26/01/2020,0,0,0
7,27/01/2020,0,0,0
8,28/01/2020,0,0,0
9,29/01/2020,0,0,0
10,30/01/2020,0,0,0
11,31/01/2020,0,0,0
12,01/02/2020,0,0,0
13,02/02/2020,0,0,0
14,03/02/2020,0,0,0
15,04/02/2020,0,0,0
16,05/02/2020,0,1,0
17,06/02/2020,0,1,0
18,07/02/2020,0,1,0
19,08/02/2020,0,1,0
20,09/02/2020,0,1,0
21,10/02/2020,0,1,0
22,11/02/2020,0,1,0
23,12/02/2020,0,1,0
24,13/02/2020,0,1,0
25,14/02/2020,0,1,0
26,15/02/2020,0,1,0
27,16/02/2020,0,1,0
28,17/02/2020,1,1,0
29,18/02/2020,1,1,0
30,19/02/2020,1,1,0
31,20/02/2020,1,2,0
32,21/02/2020,1,2,0
33,22/02/2020,1,2,0
34,23/02/2020,1,2,0
35,24/02/2020,1,2,0
36,25/02/2020,1,2,0
37,26/02/2020,1,2,0
38,27/02/2020,1,2,0
39,28/02/2020,1,2,0
40,29/02/2020,1,2,0
41,01/03/2020,1,2,0
42,02/03/2020,1,2,0
43,03/03/2020,1,2,0
44,04/03/2020,1,2,0
45,05/03/2020,1,2,0
46,06/03/2020,1,2,0
47,07/03/2020,1,2,0
48,08/03/2020,1,2,0
49,09/03/2020,1,3,0
50,10/03/2020,1,3,0
