"","continent_level","date","cases","new_cases","deaths","new_deaths","weeks_since_death10","weeks_since_case100","continent","pop","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million"
"1","Africa",2020-02-19,1,1,0,0,0,0,"Africa",1.2e+09,0,0,0,0
"2","Africa",2020-02-26,2,1,0,0,0,0,"Africa",1.2e+09,0,0,0,0
"3","Africa",2020-03-04,21,19,0,0,0,0,"Africa",1.2e+09,0,0,0,0
"4","Africa",2020-03-11,118,97,2,2,0,0,"Africa",1.2e+09,0.1,0.1,0,0
"5","Africa",2020-03-18,610,492,17,15,0,1,"Africa",1.2e+09,0.5,0.4,0,0
"6","Africa",2020-03-25,2767,2163,73,56,1,2,"Africa",1.2e+09,2.3,1.8,0.1,0
"7","Africa",2020-04-01,6360,3593,233,160,2,3,"Africa",1.2e+09,5.3,3,0.2,0.1
"8","Africa",2020-04-08,11414,5054,573,340,3,4,"Africa",1.2e+09,9.5,4.2,0.5,0.3
"9","Africa",2020-04-15,17192,5778,910,337,4,5,"Africa",1.2e+09,14.3,4.8,0.8,0.3
"10","Africa",2020-04-22,25910,8718,1240,330,5,6,"Africa",1.2e+09,21.6,7.3,1,0.3
"11","Africa",2020-04-29,36807,10897,1588,348,6,7,"Africa",1.2e+09,30.7,9.1,1.3,0.3
"12","Africa",2020-05-06,51535,14728,2006,418,7,8,"Africa",1.2e+09,42.9,12.3,1.7,0.3
"13","Africa",2020-05-13,72226,20691,2493,487,8,9,"Africa",1.2e+09,60.2,17.2,2.1,0.4
"14","Africa",2020-05-20,95057,23028,2990,497,9,10,"Africa",1.2e+09,79.2,19.2,2.5,0.4
"15","Africa",2020-05-27,124524,29467,3698,708,10,11,"Africa",1.2e+09,103.8,24.6,3.1,0.6
"16","Africa",2020-06-03,162311,37787,4601,903,11,12,"Africa",1.2e+09,135.3,31.5,3.8,0.8
"17","Africa",2020-06-10,209202,46891,5688,1087,12,13,"Africa",1.2e+09,174.3,39.1,4.7,0.9
"18","Africa",2020-06-17,267522,58320,7218,1530,13,14,"Africa",1.2e+09,222.9,48.6,6,1.3
"19","Africa",2020-06-24,335768,68246,8855,1637,14,15,"Africa",1.2e+09,279.8,56.9,7.4,1.4
"20","Africa",2020-07-01,418104,82336,10404,1549,15,16,"Africa",1.2e+09,348.4,68.6,8.7,1.3
"21","Africa",2020-07-08,522535,104431,12232,1828,16,17,"Africa",1.2e+09,435.4,87,10.2,1.5
"22","Africa",2020-07-15,643484,120949,13988,1756,17,18,"Africa",1.2e+09,536.2,100.8,11.7,1.5
"23","Africa",2020-07-22,770049,126565,16445,2457,18,19,"Africa",1.2e+09,641.7,105.5,13.7,2
"24","Africa",2020-07-29,891656,121607,18864,2419,19,20,"Africa",1.2e+09,743,101.3,15.7,2
"25","Africa",2020-08-05,993874,102218,21638,2774,20,21,"Africa",1.2e+09,828.2,85.2,18,2.3
"26","Africa",2020-08-12,1074535,80661,24274,2636,21,22,"Africa",1.2e+09,895.4,67.2,20.2,2.2
"27","Africa",2020-08-19,1147648,73113,26640,2366,22,23,"Africa",1.2e+09,956.4,60.9,22.2,2
"28","Africa",2020-08-26,1211924,64276,28607,1967,23,24,"Africa",1.2e+09,1009.9,53.6,23.8,1.6
"29","Africa",2020-09-02,1268105,56181,30319,1712,24,25,"Africa",1.2e+09,1056.8,46.8,25.3,1.4
"30","Africa",2020-09-09,1322488,54383,31939,1621,25,26,"Africa",1.2e+09,1102.1,45.3,26.6,1.4
"31","Africa",2020-09-16,1373748,51260,33249,1336,26,27,"Africa",1.2e+09,1144.8,42.7,27.7,1.1
"32","Africa",2020-09-23,1429376,55628,34531,1282,27,28,"Africa",1.2e+09,1191.1,46.4,28.8,1.1
"33","Africa",2020-09-30,1481928,52552,35863,1332,28,29,"Africa",1.2e+09,1234.9,43.8,29.9,1.1
"34","Africa",2020-10-07,1536819,54891,37095,1232,29,30,"Africa",1.2e+09,1280.7,45.7,30.9,1
"35","Africa",2020-10-14,1604024,67205,38835,1740,30,31,"Africa",1.2e+09,1336.7,56,32.4,1.4
"36","Africa",2020-10-21,1676222,72198,40480,1645,31,32,"Africa",1.2e+09,1396.9,60.2,33.7,1.4
"37","Africa",2020-10-28,1749729,73507,42135,1655,32,33,"Africa",1.2e+09,1458.1,61.3,35.1,1.4
"38","Africa",2020-11-04,1828226,78497,43940,1805,33,34,"Africa",1.2e+09,1523.5,65.4,36.6,1.5
"39","Africa",2020-11-11,1918936,90710,46282,2342,34,35,"Africa",1.2e+09,1599.1,75.6,38.6,2
"40","Africa",2020-11-18,2014477,95541,48426,2144,35,36,"Africa",1.2e+09,1678.7,79.6,40.4,1.8
"41","Africa",2020-11-25,2107524,93047,50646,2220,36,37,"Africa",1.2e+09,1756.3,77.5,42.2,1.9
"42","Africa",2020-12-02,2201563,94039,52580,1934,37,38,"Africa",1.2e+09,1834.6,78.4,43.8,1.6
"43","Africa",2020-12-09,2306703,105140,54870,2290,38,39,"Africa",1.2e+09,1922.3,87.6,45.7,1.9
"44","Africa",2020-12-16,2429800,123097,57418,2548,39,40,"Africa",1.2e+09,2024.8,102.6,47.8,2.1
"45","Africa",2020-12-23,2571854,142054,60877,3459,40,41,"Africa",1.2e+09,2143.2,118.4,50.7,2.9
"46","Africa",2020-12-30,2730661,158807,64769,3892,41,42,"Africa",1.2e+09,2275.6,132.3,54,3.2
"47","Africa",2021-01-06,2917493,186832,69861,5092,42,43,"Africa",1.2e+09,2431.2,155.7,58.2,4.2
"48","Africa",2021-01-13,3144209,226716,75688,5827,43,44,"Africa",1.2e+09,2620.2,188.9,63.1,4.9
"49","Africa",2021-01-20,3338406,194197,81756,6068,44,45,"Africa",1.2e+09,2782,161.8,68.1,5.1
"50","Africa",2021-01-27,3495983,157577,87989,6233,45,46,"Africa",1.2e+09,2913.3,131.3,73.3,5.2
"51","Africa",2021-02-03,3612573,116590,93073,5084,46,47,"Africa",1.2e+09,3010.5,97.2,77.6,4.2
"52","Africa",2021-02-10,3706022,93449,96770,3697,47,48,"Africa",1.2e+09,3088.4,77.9,80.6,3.1
"53","Africa",2021-02-17,3785187,79165,99812,3042,48,49,"Africa",1.2e+09,3154.3,66,83.2,2.5
"54","Africa",2021-02-24,3856586,71399,102468,2656,49,50,"Africa",1.2e+09,3213.8,59.5,85.4,2.2
"55","Africa",2021-03-03,3924481,67895,104660,2192,50,51,"Africa",1.2e+09,3270.4,56.6,87.2,1.8
"56","Africa",2021-03-10,3991537,67056,106681,2021,51,52,"Africa",1.2e+09,3326.3,55.9,88.9,1.7
"57","Africa",2021-03-17,4064063,72526,108671,1990,52,53,"Africa",1.2e+09,3386.7,60.4,90.6,1.7
"58","Africa",2021-03-24,4135496,71433,110805,2134,53,54,"Africa",1.2e+09,3446.2,59.5,92.3,1.8
"59","Africa",2021-03-31,4217238,81742,112755,1950,54,55,"Africa",1.2e+09,3514.4,68.1,94,1.6
"60","Africa",2021-04-07,4301436,84198,114584,1829,55,56,"Africa",1.2e+09,3584.5,70.2,95.5,1.5
