"","global_level","date","cases","new_cases","deaths","new_deaths","weeks_since_death10","weeks_since_case100","pop","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million"
"1","Global",2020-01-22,555,555,17,17,0,0,7.6e+09,0.1,0.1,0,0
"2","Global",2020-01-28,5578,5023,131,114,1,1,7.6e+09,0.7,0.7,0,0
"3","Global",2020-02-04,23898,18320,492,361,2,2,7.6e+09,3.1,2.4,0.1,0
"4","Global",2020-02-11,44811,20913,1113,621,3,3,7.6e+09,5.9,2.8,0.1,0.1
"5","Global",2020-02-18,75152,30341,2008,895,4,4,7.6e+09,9.9,4,0.3,0.1
"6","Global",2020-02-25,80399,5247,2710,702,5,5,7.6e+09,10.6,0.7,0.4,0.1
"7","Global",2020-03-03,92971,12572,3160,450,6,6,7.6e+09,12.2,1.7,0.4,0.1
"8","Global",2020-03-10,119041,26070,4267,1107,7,7,7.6e+09,15.7,3.4,0.6,0.1
"9","Global",2020-03-17,199976,80935,7965,3698,8,8,7.6e+09,26.3,10.6,1,0.5
"10","Global",2020-03-24,428205,228231,19083,11118,9,9,7.6e+09,56.3,30,2.5,1.5
"11","Global",2020-03-31,875739,447534,44389,25306,10,10,7.6e+09,115.2,58.9,5.8,3.3
"12","Global",2020-04-07,1388956,518099,87759,43370,11,11,7.6e+09,182.8,68.2,11.5,5.7
"13","Global",2020-04-14,1990793,601837,134606,46847,12,12,7.6e+09,261.9,79.2,17.7,6.2
"14","Global",2020-04-21,2561192,570399,182942,48336,13,13,7.6e+09,337,75.1,24.1,6.4
"15","Global",2020-04-28,3112818,551632,223967,41025,14,14,7.6e+09,409.6,72.6,29.5,5.4
"16","Global",2020-05-05,3676385,563569,260810,36843,15,15,7.6e+09,483.7,74.2,34.3,4.8
"17","Global",2020-05-12,4267380,592457,295003,34193,16,16,7.6e+09,561.5,78,38.8,4.5
"18","Global",2020-05-19,4903625,636442,326255,31252,17,17,7.6e+09,645.2,83.7,42.9,4.1
"19","Global",2020-05-26,5597738,694120,353358,27764,18,18,7.6e+09,736.5,91.3,46.5,3.7
"20","Global",2020-06-02,6401514,803776,382484,29127,19,19,7.6e+09,842.3,105.8,50.3,3.8
"21","Global",2020-06-09,7251512,849998,412711,30227,20,20,7.6e+09,954.1,111.8,54.3,4
"22","Global",2020-06-16,8182336,930824,444425,31714,21,21,7.6e+09,1076.6,122.5,58.5,4.2
"23","Global",2020-06-23,9234362,1052026,477630,33205,22,22,7.6e+09,1215,138.4,62.8,4.4
"24","Global",2020-06-30,10444597,1210235,508510,30880,23,23,7.6e+09,1374.3,159.2,66.9,4.1
"25","Global",2020-07-07,11825840,1381243,541146,32636,24,24,7.6e+09,1556,181.7,71.2,4.3
"26","Global",2020-07-14,13321221,1495381,575337,34191,25,25,7.6e+09,1752.8,196.8,75.7,4.5
"27","Global",2020-07-21,14936577,1615441,613228,37892,26,26,7.6e+09,1965.3,212.6,80.7,5
"28","Global",2020-07-28,16727046,1790469,656795,43568,27,27,7.6e+09,2200.9,235.6,86.4,5.7
"29","Global",2020-08-04,18532588,1805542,696640,39852,28,28,7.6e+09,2438.5,237.6,91.7,5.2
"30","Global",2020-08-11,20343472,1810884,737891,41259,29,29,7.6e+09,2676.8,238.3,97.1,5.4
"31","Global",2020-08-18,22143479,1800007,781481,43590,30,30,7.6e+09,2913.6,236.8,102.8,5.7
"32","Global",2020-08-25,23896454,1752975,819875,38835,31,31,7.6e+09,3144.3,230.7,107.9,5.1
"33","Global",2020-09-01,25763182,1867941,857512,37739,32,32,7.6e+09,3389.9,245.8,112.8,5
"34","Global",2020-09-08,27601745,1842115,898163,40655,33,33,7.6e+09,3631.8,242.4,118.2,5.3
"35","Global",2020-09-15,29585066,1983321,935471,37334,34,34,7.6e+09,3892.8,261,123.1,4.9
"36","Global",2020-09-22,31633421,2048355,971478,36007,35,35,7.6e+09,4162.3,269.5,127.8,4.7
"37","Global",2020-09-29,33666398,2032977,1008577,37099,36,36,7.6e+09,4429.8,267.5,132.7,4.9
"38","Global",2020-10-06,35830010,2163612,1050586,42016,37,37,7.6e+09,4714.5,284.7,138.2,5.5
"39","Global",2020-10-13,38155677,2325667,1086886,36300,38,38,7.6e+09,5020.5,306,143,4.8
"40","Global",2020-10-20,40819219,2663542,1125638,38752,39,39,7.6e+09,5370.9,350.5,148.1,5.1
"41","Global",2020-10-27,44003340,3184121,1167936,42298,40,40,7.6e+09,5789.9,419,153.7,5.6
"42","Global",2020-11-03,47685177,3681837,1216596,48660,41,41,7.6e+09,6274.4,484.5,160.1,6.4
"43","Global",2020-11-10,51571044,3885868,1274819,58223,42,42,7.6e+09,6785.7,511.3,167.7,7.7
"44","Global",2020-11-17,55723842,4152798,1338765,63946,43,43,7.6e+09,7332.1,546.4,176.2,8.4
"45","Global",2020-11-24,59851066,4127224,1409804,71039,44,44,7.6e+09,7875.1,543.1,185.5,9.3
"46","Global",2020-12-01,63940128,4089062,1481439,71635,45,45,7.6e+09,8413.2,538,194.9,9.4
"47","Global",2020-12-08,68293533,4353524,1556918,75492,46,46,7.6e+09,8986,572.8,204.9,9.9
"48","Global",2020-12-15,73475967,5182434,1635427,78509,47,47,7.6e+09,9667.9,681.9,215.2,10.3
