"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"42","Afghanistan",2020-04-25,95,1463,112,47,4,188,0,1228,3.8,0.3,3.2,0.1,0,29,19
"94","Albania",2020-04-25,95,712,34,27,0,403,9,282,24.7,1.2,9.8,0.9,0,33,28
"166","Algeria",2020-04-25,95,3256,129,419,4,1479,71,1358,7.4,0.3,3.1,1,0,35,36
"206","Andorra",2020-04-25,95,738,7,40,0,344,0,354,958.4,9.1,459.7,51.9,0,34,25
"248","Angola",2020-04-25,95,25,0,2,0,6,0,17,0.1,0,0.1,0,0,0,0
"264","Antigua and Barbuda",2020-04-25,95,24,0,3,0,11,0,10,24.5,0,10.2,3.1,0,0,0
"313","Argentina",2020-04-25,95,3780,173,185,9,1030,54,2565,8.4,0.4,5.7,0.4,0,36,29
"396","Armenia",2020-04-25,95,1677,81,28,1,803,75,846,56.6,2.7,28.6,0.9,0,37,16
"436","Australia",2020-04-25,95,6694,17,80,1,4223,99,2391,26.3,0.1,9.4,0.3,0,46,30
"568","Austria",2020-04-25,95,15148,77,536,6,12103,231,2509,168.2,0.9,27.9,6,0.1,48,34
"581","Azerbaijan",2020-04-25,95,1617,25,21,0,1080,67,516,15.9,0.2,5.1,0.2,0,30,15
"636","Bahrain",2020-04-25,95,2588,70,8,0,1160,47,1420,152.1,4.1,83.4,0.5,0,46,0
"711","Bangladesh",2020-04-25,95,4998,309,140,9,113,1,4745,3,0.2,2.9,0.1,0,19,19
"760","Barbados",2020-04-25,95,79,2,6,0,31,0,42,27.5,0.7,14.6,2.1,0,0,0
"790","Belarus",2020-04-25,95,9590,817,67,4,1573,453,7950,101.5,8.6,84.1,0.7,0,26,19
"911","Belgium",2020-04-25,95,45325,1032,6917,238,10417,295,27991,391.1,8.9,241.5,59.7,2.1,50,39
"948","Belize",2020-04-25,95,18,0,2,0,5,0,11,4.5,0,2.8,0.5,0,0,0
"960","Benin",2020-04-25,95,54,0,1,0,27,0,26,0.4,0,0.2,0,0,0,0
"1028","Bhutan",2020-04-25,95,7,0,0,0,3,0,4,0.9,0,0.5,0,0,0,0
"1059","Bolivia",2020-04-25,95,866,59,46,2,54,0,766,7.4,0.5,6.6,0.4,0,25,21
"1128","Bosnia and Herzegovina",2020-04-25,95,1486,65,57,2,592,54,837,45.3,2,25.5,1.7,0.1,34,26
"1147","Botswana",2020-04-25,95,22,0,1,0,0,0,21,0.9,0,0.9,0,0,0,0
"1211","Brazil",2020-04-25,95,59324,5281,4057,353,29160,1505,26107,27.9,2.5,12.3,1.9,0.2,43,36
"1230","Brunei",2020-04-25,95,138,0,1,0,121,1,16,31.6,0,3.7,0.2,0,32,0
"1308","Bulgaria",2020-04-25,95,1247,13,55,1,197,0,995,17.9,0.2,14.3,0.8,0,36,24
"1360","Burkina Faso",2020-04-25,95,629,0,41,0,442,17,146,3,0,0.7,0.2,0,32,28
"1383","Burma",2020-04-25,95,146,2,5,0,10,1,131,0.3,0,0.2,0,0,6,0
