"","x"
"1","Thailand"
"2","Japan"
"3","Singapore"
"4","Nepal"
"5","Malaysia"
"6","Canada"
"7","Australia"
"8","Cambodia"
"9","Sri Lanka"
"10","Germany"
"11","Finland"
"12","United Arab Emirates"
"13","Philippines"
"14","India"
"15","Italy"
"16","Sweden"
"17","Spain"
"18","Belgium"
"19","Egypt"
"20","Lebanon"
"21","Iraq"
"22","Oman"
"23","Afghanistan"
"24","Bahrain"
"25","Kuwait"
"26","Algeria"
"27","Croatia"
"28","Switzerland"
"29","Austria"
"30","Israel"
"31","Pakistan"
"32","Brazil"
"33","Georgia"
"34","Greece"
"35","North Macedonia"
"36","Norway"
"37","Romania"
"38","Estonia"
"39","San Marino"
"40","Belarus"
"41","Iceland"
"42","Lithuania"
"43","Mexico"
"44","New Zealand"
"45","Nigeria"
"46","Ireland"
"47","Luxembourg"
"48","Monaco"
"49","Qatar"
"50","Ecuador"
"51","Azerbaijan"
"52","Armenia"
"53","Dominican Republic"
"54","Indonesia"
"55","Portugal"
"56","Andorra"
"57","Latvia"
"58","Morocco"
"59","Saudi Arabia"
"60","Senegal"
"61","Argentina"
"62","Chile"
"63","Jordan"
"64","Ukraine"
"65","Hungary"
"66","Liechtenstein"
"67","Poland"
"68","Tunisia"
"69","Bosnia and Herzegovina"
"70","Slovenia"
"71","South Africa"
"72","Bhutan"
"73","Cameroon"
"74","Colombia"
"75","Costa Rica"
"76","Peru"
"77","Serbia"
"78","Slovakia"
"79","Togo"
"80","Malta"
"81","Martinique"
"82","Bulgaria"
"83","Maldives"
"84","Bangladesh"
"85","Paraguay"
"86","Albania"
"87","Cyprus"
"88","Brunei"
"89","US"
"90","Burkina Faso"
"91","Holy See"
"92","Mongolia"
"93","Panama"
"94","China"
"95","Iran"
"96","Korea, South"
"97","France"
"98","Cruise Ship"
"99","Denmark"
"100","Czechia"
"101","Taiwan*"
"102","Vietnam"
"103","Russia"
"104","Moldova"
"105","Bolivia"
"106","Honduras"
"107","United Kingdom"
"108","Congo (Kinshasa)"
"109","Cote d'Ivoire"
"110","Jamaica"
"111","Turkey"
"112","Cuba"
"113","Guyana"
"114","Kazakhstan"
"115","Ethiopia"
"116","Sudan"
"117","Guinea"
"118","Kenya"
"119","Antigua and Barbuda"
"120","Uruguay"
"121","Ghana"
"122","Namibia"
"123","Seychelles"
"124","Trinidad and Tobago"
"125","Venezuela"
"126","Eswatini"
"127","Gabon"
"128","Guatemala"
"129","Mauritania"
"130","Rwanda"
"131","Saint Lucia"
"132","Saint Vincent and the Grenadines"
"133","Suriname"
"134","Kosovo"
"135","Central African Republic"
"136","Congo (Brazzaville)"
"137","Equatorial Guinea"
"138","Uzbekistan"
"139","Netherlands"
"140","Benin"
"141","Greenland"
"142","Liberia"
"143","Somalia"
"144","Tanzania"
"145","The Bahamas"
"146","Barbados"
"147","Montenegro"
"148","Kyrgyzstan"
"149","Mauritius"
"150","Zambia"
"151","Djibouti"
"152","Gambia, The"
