"","SituationReport","Date","China","RepublicofKorea","Japan","Singapore","Australia","Malaysia","Philippines","VietNam","BruneiDarussalam","Cambodia","NewZealand","Mongolia","FrenchPolynesia","India","Thailand","Indonesia","Maldives","SriLanka","Bangladesh","Bhutan","Nepal","UnitedStatesofAmerica","Canada","Brazil","Chile","Argentina","Peru","Panama","Mexico","CostaRica","Ecuador","Colombia","Jamaica","Guyana","Paraguay","DominicanRepublic","Cuba","Bolivia","PuertoRico","Uruguay","Honduras","Venezuela","AntiguaandBarbuda","Guadeloupe","SaintLucia","Suriname","Guatemala","SaintVincentandtheGrenadines","TrinidadandTobago","FrenchGuiana","Martinique","SaintMartin","SaintBarthelemy","CaymanIslands","Curacao","Italy","Spain","France","Germany","Switzerland","Netherlands","UnitedKingdom","Denmark","Sweden","Norway","Belgium","Austria","Czechia","Slovenia","Portugal","Finland","Israel","Greece","Ireland","Estonia","SanMarino","Romania","Poland","Iceland","Luxembourg","RussianFederation","Albania","Serbia","Slovakia","Croatia","Georgia","Belarus","Hungary","Latvia","Cyprus","Malta","Azerbaijan","BosniaHerzegovina","NorthMacedonia","Armenia","Kazakhstan","RepublicofMoldova","Bulgaria","Lithuania","Turkey","Liechtenstein","Uzbekistan","Ukraine","Andorra","Monaco","HolySee","FaroeIslands","Gibraltar","Guernsey","Jersey","Iran","Qatar","Bahrain","Kuwait","Egypt","Iraq","UnitedArabEmirates","Lebanon","SaudiArabia","Pakistan","Oman","Tunisia","Afghanistan","Morocco","Jordan","Sudan","OccupiedPalestinianTerritory","Algeria","SouthAfrica","Senegal","BurkinaFaso","Cameroon","DemocraticRepublicoftheCongo","Nigeria","CotedIvoire","Ethiopia","Gabon","Ghana","Guinea","Kenya","Togo","Reunion","Namibia","CentralAfricanRepublic","Congo","EquatorialGuinea","Eswatini","Mauritania","Mayotte","Rwanda","Seychelles","InternationalConveyance","Global-confirmed","China-suspected","China-severe","China-deaths","RepublicofKorea-deaths","Japan-deaths","Australia-deaths","Philippines-deaths","Italy-deaths","Spain-deaths","France-deaths","Germany-deaths","Switzerland-deaths","Netherlands-deaths","UnitedKingdom-deaths","Belgium-deaths","Norway-deaths","Sweden-deaths","Austria-deaths","Denmark-deaths","Greece-deaths","Ireland-deaths","SanMarino-deaths","Poland-deaths","Luxembourg-deaths","Albania-deaths","Hungary-deaths","Bulgaria-deaths","Ukraine-deaths","India-deaths","Thailand-deaths","Indonesia-deaths","Iran-deaths","Bahrain-deaths","Iraq-deaths","Egypt-deaths","Lebanon-deaths","Morocco-deaths","Sudan-deaths","UnitedStatesofAmerica-deaths","Canada-deaths","Argentina-deaths","Panama-deaths","Ecuador-deaths","Guyana-deaths","Guatemala-deaths","CaymanIslands-deaths","Algeria-deaths","InternationalConveyance-deaths","China-critical","Hubei-clinicaldx","Cases-nonChina","Countries-nonChina","Deaths-nonChina","Cases-nonChina-WuhanTravel","Cases-nonChina-ChinaTravel","RA-China","RA-Regional","RA-Global","HealthCareWorkers","China-WuhanCity","China-Hubei","China-Guangdong","China-Beijing","China-Shanghai","China-Chongqing","China-Zhejiang","China-Jiangxi","China-Sichuan","China-Tianjin","China-Henan","China-Hunan","China-Shandong","China-Yunnan","China-Taiwan","China-Taipei","China-HongKongSAR","China-Macao","China-Unspecified","China-Anhui","China-Jiangsu","China-Fujian","China-Shaanxi","China-Guangxi","China-Hebei","China-Heilongjiang","China-Liaoning","China-Hainan","China-Shanxi","China-Gansu","China-Guizhou","China-Ningxia","China-InnerMongolia","China-Xinjiang","China-Jilin","China-Qinghai","China-Xizang","China-Hubei-deaths","China-Guangdong-deaths","China-Beijing-deaths","China-Shanghai-deaths","China-Chongqing-deaths","China-Zhejiang-deaths","China-Jiangxi-deaths","China-Sichuan-deaths","China-Tianjin-deaths","China-Henan-deaths","China-Hunan-deaths","China-Shandong-deaths","China-Yunnan-deaths","China-Taipei-deaths","China-HongKongSAR-deaths","China-Macao-deaths","China-Anhui-deaths","China-Jiangsu-deaths","China-Fujian-deaths","China-Shaanxi-deaths","China-Guangxi-deaths","China-Hebei-deaths","China-Heilongjiang-deaths","China-Liaoning-deaths","China-Hainan-deaths","China-Shanxi-deaths","China-Gansu-deaths","China-Guizhou-deaths","China-Ningxia-deaths","China-InnerMongolia-deaths","China-Xinjiang-deaths","China-Jilin-deaths","China-Qinghai-deaths","China-Xizang-deaths"
"1",1,"2020-01-20",278,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,NA,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NA,NA,NA,NA,4,NA,"","","",NA,60,258,14,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"2020-01-21",309,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,NA,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NA,4,NA,NA,4,NA,"","","",16,82,270,17,5,2,1,5,2,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"2020-01-23",571,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,NA,95,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Very High","High","High",NA,NA,375,26,10,9,5,5,2,2,2,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"2020-01-24",830,2,1,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,NA,177,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11,6,NA,10,NA,"Very High","High","High",NA,NA,375,32,10,9,5,5,2,2,2,1,1,1,1,NA,1,2,2,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"2020-01-25",1297,2,3,3,3,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,1965,237,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,23,9,NA,21,NA,"Very High","High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"6",6,"2020-01-26",1985,2,3,4,4,3,0,2,0,0,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,324,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,29,10,NA,26,NA,"Very High","High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"2020-01-27",2761,4,4,4,4,4,0,2,0,0,0,0,0,0,5,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2798,5794,461,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,37,11,NA,NA,NA,"Very High","High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"2020-01-28",4537,4,6,7,5,4,0,2,0,1,0,0,0,0,14,0,0,1,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4593,6973,976,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,56,14,NA,NA,NA,"Very High","High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"2020-01-29",5997,4,7,7,7,4,0,2,0,1,0,0,0,0,14,0,0,1,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6065,9239,1239,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,68,15,NA,NA,NA,"Very High","High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"2020-01-30",7736,4,11,10,7,7,1,2,0,1,0,0,0,1,14,0,0,1,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7818,12167,1370,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,82,18,NA,NA,NA,"Very High","High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
